question,choices,back,answer,Question_int
"On May 3, Mary offered to buy Harvey's house, and the offer was stated to be open for acceptance until 2:00 p.m. May 4. Which one of the following statements is FALSE?","Mary can revoke her offer prior to 2:00 p.m. on May 4.|Mary's offer represents an option agreement.|If Harvey makes any changes to the offer, Mary's original offer is terminated.|If Mary mails a notice of revocation to Harvey, the offer is only revoked if the notice is received by Harvey before he accepts.","<p>Option (2) is the correct answer  because  it is false.  Separate consideration needs to be given to create an option <br>agreement and keep the offer open.  Option (1 ) is incorrect  because  it is true – revocation of an offer can happen <br>at any time prior to the ex piration of the offer. Option (3) is  incorrect  because any changes that Harvey makes to <br>the offer would be considered a counter -offer . A counter -offer must be accepted by Mary, so it effectively <br>terminates her original offer. Option (4) is incorrect  because revocation must actually be communicated to <br>Harvey. There is no “ postal  acceptance  rule ” with regards to revocation.  <br></p>",Correct Option: 2,15
"Mike bought a house two years ago at which time he arranged a $110,000 mortgage. This loan was written at a nominal rate of 9.5% per annum, compounded semi-annually, with a 10-year term and amortization period, and monthly payments of $1,413. Today Mike has received an offer from Andre to buy his house for $50,000 cash plus assumption of his mortgage. If current mortgage rates for similar mortgages are 12% per annum, compounded semi-annually, what is the market value of Andre's offer, rounded to the nearest dollar?","$127,146|$137,795|$90,312|$89,792","<p>Find the new PV, given that the payments remain at &#36;1,413, but the market value of the mortgage changes <br>because the new rates are 12% per annum, compounded semi -annually. This rate is higher than the contract <br>rate; therefore, we would expect the PV of the loan to be lower. Also, we only have 8 years, or 96 N, left on the <br>mortgage.</p><table border='1' cellspacing='0' cellpadding='4'><thead><tr><th>Press</th><th>Display</th></tr></thead><tbody><tr><td>12 &#9632; NOM%</td><td style='text-align:right'>12</td></tr><tr><td>2 &#9632; P/YR</td><td style='text-align:right'>2</td></tr><tr><td>&#9632; EFF%</td><td style='text-align:right'>12.36</td></tr><tr><td>12 &#9632; P/YR</td><td style='text-align:right'>12</td></tr><tr><td>&#9632; NOM%</td><td style='text-align:right'>11.710553</td></tr><tr><td>96 N</td><td style='text-align:right'>96</td></tr><tr><td>1413 +/ - PMT</td><td style='text-align:right'>&minus;1,413</td></tr><tr><td>0 FV</td><td style='text-align:right'>0</td></tr><tr><td>PV</td><td style='text-align:right'>87,795.457654 (market value of mortgage)</td></tr><tr><td>+ 50000 =</td><td style='text-align:right'>137,795.457654 (market value of the offer)</td></tr></tbody></table><p>The market value of the offer is &#36;137,795.</p>",Correct Option: 2,16
Which of the following contractual clauses in a mortgage could apply where the mortgage is otherwise in good standing but the borrower has not paid their property taxes?,"A ""further charges"" clause|A ""repayment"" clause|An ""acceleration"" clause|An ""omnibus"" clause","<p>Option (4) is correct because an omnibus clause allows the mortgagee to pay monies to be paid by the <br>mortgagor (e.g. , property taxes or strata charges) if unpaid and such amounts are added to the principal <br>secured.  Options (1), (2), and (3) are incorrect as these clauses are not applicable in such a situation.</p>",Correct Option: 4,17
Which of the following items is NOT an example of a technological compatibility issue?,"A licensee cannot access a forms software because it is not compatible with her computer's operating system.|A licensee sends a form to a property seller from a mobile phone, and the seller is able to fill it out from her desktop computer.|A prospective client can view a licensee's website from his laptop, but the website is difficult to navigate from his smartphone.|A licensee has to enter the same property information into three different programs because the programs are not compatible with one another.","<p>Option (2) is the correct answer  because the form is compatible across mobile devices, therefore it is not an <br>example of a technological capability issue. Options (1), (3), and (4) are all examples of technological <br>compatibility issues and are therefore incorrect.</p>",Correct Option: 2,18
"A developer is selling a development unit of subdivided land situated in British Columbia and the developer has obtained a written statement from the purchaser acknowledging that the buyer has read the appropriate disclosure statement. If the purchase agreement is then entered into, the buyer:",may serve notice to rescind the contract no later than three days from the date of the contract.|may serve notice to rescind the contract no later than seven days from the date of the contract.|may serve notice to rescind the contract no later than one year from the date of the contract.|may not rescind the contract.,"<p>Option (2) is correct because there is a seven day rescission right whereby the purchaser can serve written notice of rescission seven days after giving a written statement that they have read the disclosure statement.  <br>Options (1), (3), and (4) are incorre ct for this reason.</p>",Correct Option: 2,19
Which of the following statements is TRUE?,"Real estate appraisers must be licensed in British Columbia.|With an unusual property or a market with few participants, the margin of error in an appraiser's estimate of market value is always 5% or lower.|A licensed real estate representative cannot give an appraisal of real property.|The market value of real property as determined by an experienced appraiser may be greater than the ceiling price of the buyer.","<p>Option (4) is true because the ceiling price of a buyer is subjective and could be any value ; for example,  far <br>above the appraised value. Option (1)  is incorrect  as there are no licensing requirements for real es tate <br>appraisers. Option (2)  is incorrect  because the recognized margin of error for an appraisal  of an usual property <br>or a market with few participants will likely be much higher than 5% to 10%.  Option (3) is incorrect  as there is <br>no legal requirement for a specific appraisal license or designation  that would prevent  a qualified  licensed real <br>estate representative from performing an appraisal.  <br></p>",Correct Option: 4,20
"Alan is Peter's agent with the express authority to rent Peter's cottage for the summer months. However, in his capacity as Peter's agent, Alan accepts an offer to purchase the cottage instead. When Peter discovers the incident, he is so impressed by the price, he calls and tells the buyers that he adopts Alan's act. Which of the following is the result of these actions at law?","Peter has ratified Alan's actions, therefore the buyers cannot sue Alan for breach of warranty of authority.|When Peter adopted Alan's act, he created legal authority by means of revocation.|Peter did not need to adopt Alan's act because Alan had apparent authority.|None of the above","<p>Option (1) is correct because Peter has ratified the contract , which means he has consented to the unauthorized <br>acts of the agent . Therefore,  Peter is bound by the contract just as if Alan had been authorized to make it in the <br>first place . He  cannot sue for breach of warranty of authority. Option (2) is incorrect because revocation  refers to <br>termina ting authority, not creating it.  Option (3) is incorrect because apparent authority arises from agency by <br>estoppel. Agency by estoppel is not present here, as there was no representation made by Peter, reliance by a <br>third party and an alteration of the thi rd party’s position based on that reliance . Option (4) is incorrect because <br>Option (1) is true .</p>",Correct Option: 1,21
"You have a partially completed appraisal report that you need to fill in. The subject property has 4 bathrooms and an air conditioner. The house next door is similar in all respects except for the number of bathrooms and air conditioner. It sold for $334,000 and was adjusted +$6,700 for bathrooms and +$5,500 for the air conditioner. If the market value of a bathroom is $6,700 and the market value of an air conditioner is $5,500, you can conclude that this comparable has:",5 bathrooms and no air conditioner.|3 bathrooms and an air conditioner.|3 bathrooms and no air conditioner.|4 bathrooms and an air conditioner.,"<p>Option (3) is correct because a  positive adjustment of &#36;6,700 for bathrooms indicates that the comparable has <br>one less bathroom than the subject property (3 bathrooms), and a positive adjustment of &#36;5,500 for the air <br>conditioner indicates that the comparable does not have an air conditi oner . Options (1), (2), and (4) are <br>incorrect for this reason.</p>",Correct Option: 3,22
An appeal from the small claims court is to which of the following?,The British Columbia Supreme Court|The Federal Court of Appeal|The British Columbia Court of Appeal|The Small Claims Court of Appeal,"<p>Option (1) is correct because an appeal from small claims court is to the British Columbia Supreme Court.  <br>Options (2), (3), and (4) are incorrect for this reason.</p>",Correct Option: 1,23
"What will be the maximum loan granted on a commercial building with a lending value of $5,550,000 and yielding a net operating income of $360,000 per year, where the lender requires a debt coverage ratio of 1.35 and a 60% loan-to-value ratio? The loan will be amortized over 20 years with annual payments and the interest rate is 7% per annum, compounded annually. Round your answer to the nearest $1,000.","$2,814,000|$3,330,000|$3,592,000|$2,825,000","<p>
  The maximum loan granted will be the lower amount of the loan-to-value
  constraint and the DCR constraint.
</p>

<p>Using the DCR constraint, calculate the maximum allowable payments.</p>

<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""block"">
  <mrow>
    <mi>DCR</mi>
    <mo>=</mo>
    <mfrac>
      <mi>NOI</mi>
      <mtext>Payments</mtext>
    </mfrac>
  </mrow>
</math>

<p>Therefore:</p>

<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""block"">
  <mrow>
    <mtext>Payments</mtext>
    <mo>=</mo>
    <mfrac>
      <mi>NOI</mi>
      <mtext>DCR</mtext>
    </mfrac>
    <mo>=</mo>
    <mfrac>
      <mn>360000</mn>
      <mn>1.35</mn>
    </mfrac>
    <mo>=</mo>
    <mn>266,666.67</mn>
  </mrow>
</math>

<p>Yearly payments = $266,666.67</p>

<p>Based on these payments, find the corresponding PV.</p>

<table border=""1"" cellspacing=""0"" cellpadding=""4"">
  <thead>
    <tr>
      <th>Press</th>
      <th>Display</th>
    </tr>
  </thead>
  <tbody>
    <tr>
      <td>7 I/YR</td>
      <td style=""text-align:right"">7</td>
    </tr>
    <tr>
      <td>1 &#9632; P/YR</td>
      <td style=""text-align:right"">1</td>
    </tr>
    <tr>
      <td>266666.67 +/− PMT</td>
      <td style=""text-align:right"">−266,666.67</td>
    </tr>
    <tr>
      <td>20 N</td>
      <td style=""text-align:right"">20</td>
    </tr>
    <tr>
      <td>0 FV</td>
      <td style=""text-align:right"">0</td>
    </tr>
    <tr>
      <td>PV</td>
      <td style=""text-align:right"">2,825,070.50</td>
    </tr>
  </tbody>
</table>

<p>
  The maximum loan under the DCR is $2,825,000, rounded to the nearest $1,000.
</p>

<p>
  Loan-to-value constraint:
  <math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""inline"">
    <mrow>
      <mn>0.60</mn>
      <mo>&#x00D7;</mo>
      <mn>5,550,000</mn>
      <mo>=</mo>
      <mn>3,330,000</mn>
    </mrow>
  </math>
</p>

<p>
  Take the lower of the two constraints: since $2,825,000 &lt; $3,330,000, the
  maximum loan is $2,825,000.
</p>",Correct Option: 4,24
"Zelda was in a good mood one day, and she went over to her next door neighbour Herb's house and cleaned all his gutters. When Herb returned home from work, he was thrilled by what Zelda had done and he said, ""Zelda, I am going to give you a case of wine for doing this."" Weeks passed, and finally Zelda asked Herb when she could expect to receive her wine. Herb said that he had changed his mind. Zelda is now furious and wants to sue Herb in small claims court for a breach of contract. Which of the following statements is most relevant to these facts?","An invitation to treat is distinguishable from an offer because it cannot form a binding contract, if accepted.|A voidable contract exists until it is repudiated by the party entitled to do so.|Past consideration is no consideration.|Breach of a condition of a contract entitles the injured party to terminate the contract.","<p>Option (3) is  relevant  and therefore correct  because although Herb offered a case of wine as present <br>consideration, the cleaning of the gutters was past consideration . Since past consideration is no consideration, <br>no contract formed  between Herb and Zelda . Option (1) is incorrect because an invitation to tre at is typically an <br>advertisement or other statement from one party inviting another party to make a legal offer. No invitation to <br>treat appears in this scenario . Option (2) is  incorrect because there is  no voidable contract to be repudiated on <br>the facts. O ption (4) is not relevant because the issue is whether there was consideration to give rise to a valid <br>contract in the first place.</p>",Correct Option: 3,25
Which one of the following is the generally accepted accounting principle that determines what amount will be recorded on the company's balance sheet as the value of a building at the time of purchase?,The objectivity principle|The consistency principle|The revenue recognition principle|The cost principle,"<p>Option (4) is correct because t he cost principle states that a company must record the value of an ass et as the <br>price paid at the time of acquisition. Option (1) is incorrect because the objectivity principle states that all <br>values must be objective and verifiable. Option (2) is incorrect because the consistency principle states that once <br>a company adopts a certain accounting policy, they should continue to use that same policy. Option (3) is <br>incorrect because the revenue recognition principle states that revenue must be recorded when it is earned, not <br>when cash is received.</p>",Correct Option: 4,26
"In order for a trading services representative to be liable for a negligent misrepresentation, certain facts must be proven. Which of the following is NOT a requirement for establishing a claim based upon negligent misrepresentation?","A contractual relationship must exist between the representative and the person to whom the representation is made.|The statement may be either one of fact or an opinion given by the representative.|The statement must be reasonably relied upon by the person to whom it was made, and damage must result from that reliance.|The representative must make no clear disclaimer of liability for the accuracy of the statement.","<p>Option (1) is correct because a contractual relationship does not need to exist between the parties  when a <br>negligent misrepresentation is made. For example, a licensee acting for a seller could be held liable for <br>negligent misrepresentation for a statement made to a  buyer despite having no contractual relationship with <br>the buyer.  Option (2) is incorrect because the statement made may be fact or opinion as the representative is a <br>skilled person and the other party may reasonably rely on it. Option (3) is incorrect bec ause there is a <br>requirement of reliance on the statement and resulting damage from that reliance to establish a claim of <br>negligent misrepresentation. Option (4) is incorrect because a representative can make a clear disclaimer that <br>they will not be liable for the accuracy of the statement.</p>",Correct Option: 1,27
"Sally, an appraiser, has been asked to provide an estimate of the market value of a farmhouse and the surrounding property. Which one of the following would NOT affect her estimate of market value?","One of the pastures on the property has been leased for two years to the owner of a racehorse.|The owner of the farmhouse is anxious to move and would like to sell as soon as possible.|The farmhouse and its surrounding property are located between the main road and the next door neighbour's property. Therefore, the neighbour gets the benefit of access to his house by means of a road that runs through the farmhouse property.|Homehold Finance Company recently loaned some money, at a below-market interest rate, to the owner of the farmhouse and secured the debt with a mortgage on the farmhouse. This mortgage is assumable.","<p>Option (2) is the correct answer as it is the only option listed that does not affect the legal rights of ownership of the property. Options (1), (3), and (4) represent legal interests or charges that will affect the appraiser ’s estimate <br>of market value.</p>",Correct Option: 2,28
The book value of an asset can be BEST defined as which of the following?,The purchase price of that asset less any depreciation taken to date|The price for which a similar asset could currently be purchased in the market|The price at which the asset could be sold|A value that is subjectively arrived at by an appraiser,"<p>Option (1) is correct because t he book value of an asset is calculated as the purchase price of the asset, less all of <br>the accumulated depreciation to date. Options (2) and (3 ) are incorrect as they both refer to the market value of <br>the asset, and Option (4) is incorrect as it refers to the appraised value of an asset.</p>",Correct Option: 1,29
"In the situation where a residential tenant under a fixed term tenancy abandons the premises prior to the end of the term, the obligation imposed on the landlord to try to re-rent the premises as quickly as possible is referred to as:",the duty to mitigate damages.|the covenant of quiet enjoyment.|derogation from the grant.|the doctrine of interesse termini.,"<p>Option (1) is correct because the  duty to mitigate damages means that the  innocent party must try to reduce the <br>loss suffered as a result of the breach. In this case, reducing the loss of income from the rent would occur by re-renting the premises as soon as possible.  Options (2), (3), and (4) are incorrect as they refer to other legal <br>princi ples.  <br></p>",Correct Option: 1,30
Scrambling credit card information into an unreadable format is BEST known as which of the following?,Cryptomizing|Digitizing|Encrypting|Instilling,"<p>Option (3) is correct because cryptomizing information protects it by encrypting it into an unreadable format. <br>Only those with a secret key or code can decipher the information. Options (1), (2), and (4) are incorrect for this <br>reason.</p>",Correct Option: 3,31
"Which of the following most correctly completes the phrase: ""A mortgage is ...""?","a contract, evidence of a loan, and required to be registered to be effective between the parties.|a contract, evidence of a loan, and security for a loan.|a contract, and a loan.|a contract, evidence of a loan, security for a loan, and required to be registered to be effective between the parties.",<p>Option (2) is correct  as it describes a mortgage . Options (1) and (4) are incorrect because a mortgage does not <br>necessarily need to be registered to be effective between the parties. This principle is embodied in section 20(1) <br>of the Land Title Act . Option (3) is incorrect because a mortgage is not a loan . It is an interest in land created by <br>contract as security for a loan made by a lender to the borrower.</p>,Correct Option: 2,32
Which of the following statements is FALSE?,"An appraisal mistake of $3,000 on a $276,000 house is beyond the margin of allowable error.|Form reports often meet the needs of financial institutions, insurance companies, and government agencies.|The burden of proof is on the appraiser to explain an apparent over-valuation of a property.|An appraiser may be responsible to any party who reasonably relies on the appraisal report for the purpose it was conducted.","<p>Option (1) is false and therefore correct, because the allowable margin of error is 10%, and the &#36;3,000 error falls <br>within this margin. Options (2), (3), and (4) are incorrect because the se statements are  all true.</p>",Correct Option: 1,33
"An investment corporation purchased an apartment building on March 31, 2011 for $2,800,000. Of that $2,800,000, $1,700,000 was attributed to the building and $1,100,000 to the land. Depreciation was to be claimed at $50,000 per year for the life of the building. The building component of the property was valued on March 31, 2021, to be $2,400,000. What would be the net amount of the building appearing on the corporation's Statement of Assets and Liabilities as at March 31, 2021?","$1,700,000|$1,200,000|$2,400,000|$1,900,000","<p>Option (2) is correct. Land is not considered to be a depreciable asset and thus, depreciation expense is never <br>taken on land. Depreciation expense  is only taken on the building.  <br>Book Value = Cost &minus;  Accumulated Depreciation   <br>Book Value = &#36;1,700,000 &minus;  (&#36;50,000 &times; 10) = &#36;1,200,000</p>",Correct Option: 2,34
"Chadwick is the listing licensee for a house. According to the Real Estate Services Rules, Chadwick does NOT need to provide his client, the seller, with a Disclosure of Interest in Trade form if the party making the offer to purchase the house is:",a corporation in which Chadwick holds 20% of the shares.|Chadwick's wife.|Chadwick himself.|Chadwick's friend and tennis partner.,"<p>Option (4) is correct because a licensee is required to provide a Disclosure of Interest in Trade form  when there <br>is an offer by the licensee to directly or indirectly acquire real estate. An offer by Chad’s friend is neither of <br>these. Option (1) is incorrect because an offer by a corporation in which Chad owns over 5% of the shares is an <br>offer to indirect ly acquire real estate. Option (2) is incorrect because an offer by Chad’s wife is also an offer to <br>indirectly acquire real estate. Option (3) is incorrect because it is a direct offer to acquire real estate. In these <br>three situations, Chad must provide a Disclosure of Interest in Trade f orm .</p>",Correct Option: 4,35
"An investor plans to pay $200,000 for a vacant lot that the investor feels will sell at the end of 3 years for $280,985.60. What yield, expressed as an annual rate with semi-annual compounding, will the investor earn? (Assume that these are the only cash flows for this investment.)",11.66%|11.39%|12.00%|10.00%,"<p>
 Find the nominal rate per year based on the given PV and FV.
</p>
<table border=""""1"""" cellpadding=""""4"""" cellspacing=""""0"""">
 <thead>
  <tr>
   <th>
    Press
   </th>
   <th>
    Display
   </th>
  </tr>
 </thead>
 <tbody>
  <tr>
   <td>
    2 ■ P/YR
   </td>
   <td style=""""text-align:right"""">
    2
   </td>
  </tr>
  <tr>
   <td>
    200000  +/ − PV 
   </td>
   <td style=""""text-align:right"""">
  −200,000
   </td>
  </tr>
  <tr>
   <td>
    0 PMT
   </td>
   <td style=""""text-align:right"""">
    0
   </td>
  </tr>
  <tr>
   <td>
    6 N 
   </td>
   <td style=""""text-align:right"""">
    6
   </td>
  </tr>
  <tr>
   <td>
    280985.6 FV
   </td>
   <td style=""""text-align:right"""">
    280,985.6
   </td>
  </tr>
  <tr>
   <td>
    I/YR
   </td>
   <td style=""""text-align:right"""">
    11.660105
   </td>
  </tr>
  <tr>
   <td>
   </td>
  </tr>
 </tbody>
</table>",Correct Option: 1,36
A revocation of an offer is effective when:,a notice of revocation is mailed.|it is communicated to the offeree.|it is reduced to writing.|a notice of revocation is filed.,"<p>Option  (2) is correct and Option s (1), (3), and (4 ) are incorrect because a revocation of an offer is only effective <br>when it is communicated to the offeree.</p>",Correct Option: 2,37
"Which of the following falls within the category of law called ""public law""?",Breach of contract|Trespass|Constitutional law|None of the above,<p>Option (3) is correct because “public law” deals with the Constitution and matters between private individuals <br>and the state.  Options (1) and (2) are incorrect because these fall under the category of “private law”.</p>,Correct Option: 3,38
Which of the following is NOT required in a notice of the end of the tenancy agreement by a tenant under the Residential Tenancy Act?,Written notice signed by the tenant|The address of the premises for which the notice is given|The occupations of the parties|The date of termination of the tenancy,"<p>Option (3) is correct because the occupation of the parties is not required in a notice of the end of the tenancy agreement by a tenant. O ptions (1), (2), and (4) are incorrect they are all required in a notice of the end of the <br>tenancy agreement.</p>",Correct Option: 3,39
Which one of the following is NOT an appraisal approach/method?,The residual method|The cost approach|The income approach|The depreciation approach,"<p>Option (4) is the correct answer as the depreciation approach is not a method of appraisal. Options (1), (2), and <br>(3) all represent valid appraisal approaches  and are therefore incorrect .</p>",Correct Option: 4,40
